row_pk,country,field,metric,current_value,current_source,current_confidence,proposed_source,verifiable,note
8f32847e-ee87-479d-af9a-a85f23a3aeca,AU,accounting,employment,79,QILT Graduate Outcomes Survey 2024 — full-time employment by study area,estimate,QILT Graduate Outcomes Survey,yes,"% full-time employment, recent grads; survey timepoint differs by country"
8f32847e-ee87-479d-af9a-a85f23a3aeca,AU,accounting,visa,occupation_list_match=true; post_study_work_years=2; visa_pathway_score=75,Core Skills Occupation List (CSOL) — Dept of Home Affairs,estimate,Home Affairs Core Skills Occupation List (CSOL) + subclass 485,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
8f32847e-ee87-479d-af9a-a85f23a3aeca,AU,accounting,demand,65,Jobs and Skills Australia — labour market outlook,estimate,Jobs and Skills Australia,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
8f32847e-ee87-479d-af9a-a85f23a3aeca,AU,accounting,ai_exposure,high,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
8f32847e-ee87-479d-af9a-a85f23a3aeca,AU,accounting,roi,avg_annual_tuition_intl=40000; median_starting_salary=64000; payback_years=4,CRICOS — course tuition registry,estimate,CRICOS (tuition) + QILT (graduate salary),yes,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
17a669fb-6768-4cfa-a9bd-bb1b0d3fc639,AU,business-management,employment,76,QILT Graduate Outcomes Survey 2024 — full-time employment by study area,estimate,QILT Graduate Outcomes Survey,yes,"% full-time employment, recent grads; survey timepoint differs by country"
17a669fb-6768-4cfa-a9bd-bb1b0d3fc639,AU,business-management,visa,occupation_list_match=false; post_study_work_years=2; visa_pathway_score=55,Core Skills Occupation List (CSOL) — Dept of Home Affairs,estimate,Home Affairs Core Skills Occupation List (CSOL) + subclass 485,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
17a669fb-6768-4cfa-a9bd-bb1b0d3fc639,AU,business-management,demand,60,Jobs and Skills Australia — labour market outlook,estimate,Jobs and Skills Australia,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
17a669fb-6768-4cfa-a9bd-bb1b0d3fc639,AU,business-management,ai_exposure,high,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
17a669fb-6768-4cfa-a9bd-bb1b0d3fc639,AU,business-management,roi,avg_annual_tuition_intl=40000; median_starting_salary=62000; payback_years=4.5,CRICOS — course tuition registry,estimate,CRICOS (tuition) + QILT (graduate salary),yes,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
c3b2e42a-bd33-4052-9d59-00ce3c8b34b8,AU,civil-engineering,employment,86,QILT Graduate Outcomes Survey 2024 — full-time employment by study area,estimate,QILT Graduate Outcomes Survey,yes,"% full-time employment, recent grads; survey timepoint differs by country"
c3b2e42a-bd33-4052-9d59-00ce3c8b34b8,AU,civil-engineering,visa,occupation_list_match=true; post_study_work_years=2; visa_pathway_score=90,Core Skills Occupation List (CSOL) — Dept of Home Affairs,estimate,Home Affairs Core Skills Occupation List (CSOL) + subclass 485,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
c3b2e42a-bd33-4052-9d59-00ce3c8b34b8,AU,civil-engineering,demand,82,Jobs and Skills Australia — labour market outlook,estimate,Jobs and Skills Australia,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
c3b2e42a-bd33-4052-9d59-00ce3c8b34b8,AU,civil-engineering,ai_exposure,low,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
c3b2e42a-bd33-4052-9d59-00ce3c8b34b8,AU,civil-engineering,roi,avg_annual_tuition_intl=45000; median_starting_salary=73000; payback_years=3.2,CRICOS — course tuition registry,estimate,CRICOS (tuition) + QILT (graduate salary),yes,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
d3a99f25-6417-478c-85bb-9dc678b69696,AU,computer-science,employment,78,QILT Graduate Outcomes Survey 2024 — full-time employment by study area,estimate,QILT Graduate Outcomes Survey,yes,"% full-time employment, recent grads; survey timepoint differs by country"
d3a99f25-6417-478c-85bb-9dc678b69696,AU,computer-science,visa,occupation_list_match=true; post_study_work_years=2; visa_pathway_score=85,Core Skills Occupation List (CSOL) — Dept of Home Affairs,estimate,Home Affairs Core Skills Occupation List (CSOL) + subclass 485,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
d3a99f25-6417-478c-85bb-9dc678b69696,AU,computer-science,demand,75,Jobs and Skills Australia — labour market outlook,estimate,Jobs and Skills Australia,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
d3a99f25-6417-478c-85bb-9dc678b69696,AU,computer-science,ai_exposure,medium,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
