row_pk,country,slug,risk_summary,ai_note
5e696660-17d2-4d24-8404-a5837ea6c76c,US,accounting,"Reliable hiring and clear licensure, but bookkeeping automates and the visa runway is short without STEM status.","Bookkeeping automates; audit, advisory and compliance persist."
9c3182fe-5307-4f56-b9ae-923f19d2e529,US,business-management,Hiring is broad but generic; only 1 year of OPT and an exposed skill base mean you need a specialisation that pays.,Generic admin work is exposed; strategy and people leadership less so.
2f721526-abc5-4a4e-a266-2ce1acfff4c1,US,civil-engineering,"Steady demand, STEM-OPT eligibility, and regulated sign-off that keeps humans in the loop.",Site work and stamped approvals keep engineers essential.
928e49cb-aad1-4e87-816c-584ff71b3856,US,computer-science,"Strong demand and STEM-OPT runway, but entry-level coding is where AI pressure lands first — the upside goes to those who move past boilerplate fast.","AI assists coding, but system design and integration work keeps growing."
2c5acfc8-6dae-4057-a107-7fc0357dc213,US,data-analytics,"A STEM pathway with real hiring, but routine reporting is automating — the durable roles need modelling and ML depth.",Routine reporting automates fast; advanced analytics and ML skills stay in demand.
4a33efed-789a-404e-9556-2b7e772f83be,US,music,"What this path costs: high tuition, a 1-year visa window, and AI pressure on stock work. It works when you build performance, teaching or direction income — not recorded output alone.",Generative audio pressures stock work; performance and direction stay human.
c44de1f3-2c70-498a-be53-55273b20267d,US,nursing,"High employment and demand, but the work-visa path is narrower for internationals than the STEM fields — license and state rules matter.",Hands-on care is hard to automate; ageing demand keeps rising.
e71b595e-88ec-45ee-b09f-6ba995f82436,US,psychology,"Meaningful field, but most clinical roles need US licensure and graduate study — the bachelor alone has a thin work-visa path.",Clinical and counselling work needs licensure and human trust.
5bea7358-537c-4b2a-bd82-55345dd949b0,US,software-engineering,"Among the safer bets: STEM-OPT eligibility, high pay, and engineering judgment that AI tooling speeds up rather than replaces.",AI tooling speeds delivery; engineering ownership stays human.
835de242-fce5-4f00-bd07-530dfc437966,US,ux-design,"Creative demand exists, but a 1-year visa window and AI draft tools mean research and strategy skills decide who stays.","AI drafts screens; research, strategy and craft still differentiate."
8bfe2f9a-aeeb-4869-9c72-62ad1d978bb5,CA,accounting,"Reliable hiring and a long PGWP, though general accounting is AI-exposed and outside the STEM PR fast lanes.","Bookkeeping automates; audit, advisory and compliance persist."
8cbc7eb5-7bee-4021-9a20-95278d5e3ece,CA,business-management,"The PGWP is generous, but general business sits outside category-based PR draws and is more AI-exposed — specialise to stand out.",Generic admin work is exposed; strategy and people leadership less so.
980ea522-d697-410e-9fd7-33be12b662ec,CA,civil-engineering,"Solid demand, STEM PR priority, and regulated practice that keeps engineers in the loop.",Site work and stamped approvals keep engineers essential.
097d6a14-d945-4aba-b1ce-01cf4ecca2e4,CA,computer-science,"Strong demand, a 3-year PGWP, and STEM Express Entry draws make this one of the cleaner study-to-PR paths in Canada.","AI assists coding, but system design and integration work keeps growing."
d49935f3-2cd3-42a1-9f1a-120704906c7c,CA,data-analytics,Healthy hiring plus STEM-aligned PR draws; the durable roles lean on modelling rather than routine reporting.,Routine reporting automates fast; advanced analytics and ML skills stay in demand.
8fd91149-1d5b-4036-aafc-beff6694bb52,CA,music,"What this path costs: modest salaries against rising tuition. It works when you combine performance, teaching and production income — and the 3-year PGWP buys time to build it.",Generative audio pressures stock work; performance and direction stay human.
30d7863d-5044-405c-a837-2ffa03207b15,CA,nursing,"Acute shortages, healthcare Express Entry draws, and a 3-year PGWP make nursing one of Canada's strongest PR pathways.",Hands-on care is hard to automate; ageing demand keeps rising.
831373c3-a300-4a95-a46f-ade525ffea8a,CA,psychology,"The PGWP helps, but most clinical roles need provincial licensure and further study — plan the graduate route early.",Clinical and counselling work needs licensure and human trust.
6062585d-cc3d-4ad5-9ab3-fd730558c736,CA,software-engineering,"High pay, 3-year PGWP, and Express Entry STEM priority — a strong combination for staying long-term.",AI tooling speeds delivery; engineering ownership stays human.
58984228-a56b-4dc8-b8f4-0799451cb3b0,CA,ux-design,"A 3-year PGWP gives room to build a portfolio, but design sits outside category PR draws and faces AI draft tools.","AI drafts screens; research, strategy and craft still differentiate."
74ed62f3-da30-40b2-9eff-7c3b0b37df16,UK,accounting,"Recognised qualifications and shortage-list eligibility help, though routine accounting is AI-exposed.","Bookkeeping automates; audit, advisory and compliance persist."
89021c4e-918c-4e36-9543-0d36ff17bc1d,UK,business-management,"Broad hiring but generic skills, a 2-year window, and high AI exposure — a clear specialisation is what converts it to a career.",Generic admin work is exposed; strategy and people leadership less so.
b9b85eb3-6a08-4f6a-b8de-0340c6bf70a3,UK,civil-engineering,"Infrastructure demand and a recognised Skilled Worker route, with regulated sign-off keeping engineers essential.",Site work and stamped approvals keep engineers essential.
a3aa609f-9f04-44a6-9180-490f31ca3e7f,UK,computer-science,"Good demand and a Skilled Worker route, but the 2-year Graduate Route is tighter than Canada/Australia and entry coding is AI-exposed.","AI assists coding, but system design and integration work keeps growing."
7b124c8b-1377-4f1a-8d05-e5367938f449,UK,data-analytics,"Hiring is solid and a skilled-worker path exists, but routine analytics automates — depth in modelling decides longevity.",Routine reporting automates fast; advanced analytics and ML skills stay in demand.
df38ce6a-c27e-4986-bb16-cfad7fd2f708,UK,music,"What this path costs: modest pay, no shortage route, and a 2-year window. It works when you build performance, teaching and production income early.",Generative audio pressures stock work; performance and direction stay human.
cac15741-afbe-4670-a9da-8e1bcbc8975d,UK,nursing,"NHS shortages, an Immigration Salary List route, and steady demand make nursing one of the UK's most reliable paths.",Hands-on care is hard to automate; ageing demand keeps rising.
9c6f3956-00c4-4f22-a529-d82becb3d1ea,UK,psychology,"A respected field, but clinical roles need further UK study and registration — the bachelor's work-visa path is thin.",Clinical and counselling work needs licensure and human trust.
c743a440-ef33-4bb9-a8e3-bfa2f3fa4859,UK,software-engineering,"Strong pay relative to UK norms, a recognised Skilled Worker route, and engineering judgment AI speeds up rather than replaces.",AI tooling speeds delivery; engineering ownership stays human.
405f4000-183d-4b21-bf37-9b5481e5dec7,UK,ux-design,"Creative hiring exists, but design sits outside shortage routes and the 2-year window is tight against AI draft tools.","AI drafts screens; research, strategy and craft still differentiate."
8f32847e-ee87-479d-af9a-a85f23a3aeca,AU,accounting,"Still on skilled lists but AI pressure is real — aim for CPA pathway, not bookkeeping.",Routine accounting is heavily automated; advisory and audit judgment roles remain.
17a669fb-6768-4cfa-a9bd-bb1b0d3fc639,AU,business-management,"Largest international cohort = most competition, weakest visa match. Specialise or pair with data.",Generalist business roles are highly exposed to AI; specialists fare better.
c3b2e42a-bd33-4052-9d59-00ce3c8b34b8,AU,civil-engineering,Infrastructure boom + occupation list = reliable pathway.,"Physical infrastructure work is low AI exposure; design tools change, the job stays."
d3a99f25-6417-478c-85bb-9dc678b69696,AU,computer-science,"Strong visa pathway, but entry-level market is more competitive than 3 years ago.",High AI exposure but complementary: AI shifts the role rather than removes it. Entry-level squeeze is real.
aadd8293-3daa-4549-be40-72704151f9e0,AU,data-analytics,"On occupation lists, strong demand, clear graduate pathway.",AI automates parts of analysis but demand for people who interpret data keeps growing.
96a1b6e4-e3c5-412c-9b4f-a17a037cef09,AU,music,Lowest direct employment pathway for international students; consider music tech or audio engineering.,"Performance is human-centric, but the paid market is small and AI floods production work."
8fe68e01-2514-49ca-83f7-24ab4afba040,AU,nursing,Highest employment rate of any major; chronic shortage; strong PR pathway.,Hands-on care is among the least AI-exposed fields.
e00ccb2e-cd91-41a8-a8f7-439927b9da40,AU,psychology,Requires 6+ years and registration to practise; bachelor alone has weak direct employment.,Therapy itself is low AI exposure — but a bachelor alone rarely leads to practice.
215341e7-7186-413e-a71f-6323c2b70024,AU,software-engineering,Engineering accreditation + occupation list match = one of the safest tech paths.,Accredited engineering degrees carry extra visa weight in Australia.
2b92f7e8-b540-4407-b37d-1df0c2c9cef6,AU,ux-design,Portfolio matters more than the degree; no direct occupation list match.,AI tools compress junior design work; research and product thinking hold value.
60bb96bd-bf9a-437f-bbec-7b8641626b97,IE,accounting,Qualified accountants are on the Critical Skills list; aim for ACA/ACCA pathway.,Big 4 presence in Dublin keeps graduate intake alive despite automation.
768b827f-9d57-4a5c-a8f2-2c3a06fbf104,IE,business-management,Not on Critical Skills list; employers must justify non-EU hires — a real barrier.,Generalist roles face both AI pressure and EU-citizen competition.
9ef77231-af9b-47a4-b00d-61fbbcc80fe8,IE,civil-engineering,Critical Skills match; Ireland is building aggressively.,Housing crisis drives construction demand; low AI exposure.
